event_id,selection_group,sgc_lat,sgc_lon,sgc_depth_km,sgc_rms_s,magnitude,phases,n_picks,final_event_rms_s,final_abs_residual_p90_s,final_n_equations,relocated_lat,relocated_lon,relocated_depth_km,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km,origin_time_shift_s,rms_improvement_s,rms_improvement_percent,depth_change_km
SGC2025efighn,domain_20_120,7.504333333,-74.09516667,66.16,0.9,2.118660795,47,4,0.06672229984186942,0.09429262325229501,4,7.303564506856992,-74.14322996189536,70.0,0.4243564710896069,0.0105157803195711,10.0,-10.0,14.142135623730953,0.9741457824202832,0.8332777001581306,92.58641112868118,3.8400000000000034
SGC2025lepnch,domain_20_120,6.636333333,-73.69466667,101.16,0.9,1.973806662,54,4,0.06752897367023464,0.09415834081248112,4,6.764577801862382,-73.60019556082159,90.0,0.0630338710283424,0.0630338710283424,0.0,0.0,0.0,0.039890531053067,0.8324710263297654,92.49678070330728,-11.159999999999997
SGC2025rszjyx,domain_20_120,6.537833333,-73.70666667,105.09,0.9,2.490383267,85,4,0.07492098766469789,0.09634490654489584,4,6.495084449365076,-73.69070129433389,110.0,0.0808092150036177,0.0808092150036177,0.0,0.0,0.0,0.0500194395605575,0.8250790123353021,91.67544581503356,4.909999999999997
SGC2023jkzmfe,domain_20_120,6.826666667,-74.04866667,94.31,0.9,1.893548396,40,5,0.08398515333947357,0.12367342146595912,5,6.764577801862382,-74.05272422838306,100.0,0.1383900583192228,0.1383900583192228,0.0,0.0,0.0,0.2395125384690271,0.8160148466605265,90.66831629561405,5.689999999999998
SGC2023rtippf,domain_20_120,6.495833333,-73.75833333,101.03,0.9,1.623501552,28,4,0.09663530907322031,0.12517215946587323,4,6.495084449365076,-73.78120702784618,100.0,0.0611347968258704,0.0208833404889608,0.0,10.0,10.0,-0.8493461384996115,0.8033646909267798,89.26274343630885,-1.0300000000000011
SGC2023soaoza,domain_20_120,8.045166667,-74.13983333,65.04,0.9,1.881763253,33,4,0.10141304871824976,0.14134321894478638,4,7.842551211851601,-74.05272422838306,50.0,0.2383391712111923,0.0506817531521437,0.0,-10.0,10.0,-0.0108964731069463,0.7985869512817503,88.73188347575002,-15.040000000000006
SGC2023zovxiv,domain_20_120,7.971,-74.11483333,49.55,0.9,2.107287609,85,5,0.10449728936480959,0.16339753294564258,5,7.842551211851601,-74.05272422838306,30.0,0.163323227496734,0.0872076727533559,0.0,-10.0,10.0,-0.2219767812595989,0.7955027106351904,88.3891900705767,-19.549999999999997
SGC2025bjlriy,domain_20_120,6.809666667,-73.89533333,85.65,0.9,2.241695269,89,4,0.11594042658813315,0.1594373863409533,4,6.764577801862382,-73.96221849487077,100.0,0.220668366655916,0.1270071747736476,10.0,10.0,14.142135623730953,-1.2078711340047512,0.7840595734118668,87.1177303790963,14.349999999999994
SGC2024wrxjva,domain_20_120,6.262166667,-74.44666667,34.36,0.9,2.726985158,96,4,0.11755516929812214,0.17461389997738833,4,6.405253331865975,-74.23373569540765,50.0,0.160665266671434,0.1156083055790331,14.142135623730953,10.0,17.320508075688775,1.6501124474469364,0.7824448307018779,86.93831452243087,15.64
SGC2022yelnol,domain_20_120,6.427333333,-73.555,115.59,0.9,2.041849965,73,6,0.11965525664630074,0.16491463710647736,6,6.405253331865975,-73.60019556082159,140.0,0.1364163936973574,0.0911757411457884,0.0,10.0,10.0,-0.9464214499666744,0.7803447433536993,86.70497148374437,24.409999999999997
SGC2025rktthe,domain_20_120,7.250166667,-73.83733333,95.79,0.9,2.480310082,64,5,0.12759865775876508,0.1735181077811816,5,7.123902263291825,-73.87171276135847,120.0,0.2441560232533051,0.1378005092232676,10.0,10.0,14.142135623730953,-1.500311229074395,0.7724013422412349,85.82237136013721,24.209999999999994
SGC2025ldcnfw,domain_20_120,6.6625,-73.61366667,110.25,0.9,2.500525852,71,5,0.12778306908881243,0.19239129754571563,5,6.764577801862382,-73.60019556082159,100.0,0.1288561609040253,0.1288561609040253,0.0,0.0,0.0,-0.0988931342679357,0.7722169309111876,85.80188121235419,-10.25
SGC2024ndoodz,domain_20_120,6.842466325,-73.18852414,117.578125,0.9,1.578804235,8,5,0.13217443637912804,0.20752410442170866,5,6.944240028293622,-73.23817259224722,110.0,0.17203535707023,0.17203535707023,0.0,0.0,0.0,-0.0627886133870205,0.767825563620872,85.31395151343021,-7.578125
SGC2026efigiy,domain_20_120,6.7705,-73.46416667,112.86,0.9,1.376798292,38,6,0.13251698070754625,0.20226858176510548,6,6.764577801862382,-73.5096897927841,130.0,0.2055352596518214,0.1215842829576972,0.0,10.0,10.0,-0.8818718355211725,0.7674830192924538,85.27589103249485,17.14
SGC2023grrrds,domain_20_120,6.302333333,-73.5925,114.55,0.9,1.899522417,40,4,0.13392987111602553,0.1818266759869836,4,6.315422214366873,-73.60019556082159,130.0,0.151446472123631,0.1461844864731549,10.0,10.0,14.142135623730953,-1.2762806300400449,0.7660701288839745,85.1189032093305,15.450000000000003
SGC2024mlcbrc,domain_20_120,6.5455,-73.75333333,90.18,0.9,1.771496773,45,4,0.13408086723579613,0.19043893932193076,4,6.495084449365076,-73.78120702784618,70.0,0.2493814041565594,0.137010073282084,0.0,-10.0,10.0,0.9256506694843232,0.7659191327642039,85.10212586268932,-20.180000000000007
SGC2025foqebq,domain_20_120,6.421166667,-73.6295,108.73,0.9,2.531376412,85,4,0.13485616506601725,0.19217125578514402,4,6.495084449365076,-73.69070129433389,100.0,0.1561516266625627,0.1130770342219411,10.0,0.0,10.0,0.6564733132628007,0.7651438349339827,85.01598165933142,-8.730000000000004
SGC2023xrbnbl,domain_20_120,6.567666667,-73.51466667,109.58,0.9,1.733432293,55,5,0.13766529572685046,0.21625164335476227,5,6.67474668436328,-73.60019556082159,120.0,0.3225497843186962,0.0921039808962411,14.142138321129512,10.0,17.320510278105544,-0.3975148302444253,0.7623347042731495,84.70385603034995,10.420000000000002
SGC2026cxcuul,domain_20_120,6.386666667,-73.5555,112.34,0.9,1.231612607,19,4,0.14298910518172317,0.18648559892457006,4,6.584915566864178,-73.60019556082159,120.0,0.1736174091326781,0.0971328558098759,10.0,0.0,10.0,0.498308699101571,0.7570108948182769,84.11232164647521,7.659999999999997
SGC2024nfehvt,bucaramanga_nest,6.7825,-73.14383333,148.86,0.9,2.534979359,60,5,0.15122698931488068,0.22798797792853093,5,6.854408919361483,-73.23817259224722,150.0,0.1880090077474517,0.1349480175640146,0.0,10.0,10.0,-0.8875293143951524,0.7487730106851194,83.19700118723549,1.1399999999999864
SGC2024vvhyii,domain_20_120,7.588,-73.594,99.43,0.9,1.893149197,42,5,0.15560022758081765,0.24207677404650452,5,7.573057859354296,-73.69070129433389,110.0,0.142260918704051,0.142260918704051,0.0,0.0,0.0,0.1022445632009088,0.7443997724191824,82.7110858243536,10.569999999999993
SGC2025uxpuyq,domain_20_120,6.557333333,-73.5395,113.91,0.9,1.709192375,33,5,0.1556611058463169,0.22735835068725552,5,6.67474668436328,-73.60019556082159,120.0,0.1449711978348107,0.1449711978348107,0.0,0.0,0.0,0.0702584161108088,0.7443388941536832,82.70432157263146,6.090000000000003
SGC2023vfdfoj,domain_20_120,6.864,-73.38733333,113.11,0.9,2.098921214,98,6,0.15727632623021648,0.24700889794281083,6,6.764577801862382,-73.41918405927181,130.0,0.1734507259337931,0.14227881678043,0.0,10.0,10.0,-0.7993595870618151,0.7427236737697835,82.52485264108705,16.89
SGC2023ycjape,domain_20_120,6.337166667,-73.58533333,115.5,0.8,2.073025554,95,5,0.05816533106747229,0.075478400585046,5,6.405253331865975,-73.60019556082159,120.0,0.0688700657436046,0.0688700657436046,0.0,0.0,0.0,0.0677272210886421,0.7418346689325277,92.72933361656595,4.5
SGC2023mfywrl,bucaramanga_nest,6.827,-73.15,152.21,0.9,2.366851228,62,4,0.15838552476731352,0.2139149522886541,4,6.764577801862382,-73.23817259224722,170.0,0.3526513039242183,0.1591579734886695,10.0,10.0,14.142135623730953,-1.187340226442123,0.7416144752326865,82.40160835918739,17.789999999999992
SGC2025dpitar,domain_20_120,6.814833333,-73.9135,88.93,0.9,2.735893598,98,6,0.15970374524426184,0.20368346210675886,6,6.764577801862382,-73.96221849487077,100.0,0.2396355431423573,0.1887781620326194,10.0,10.0,14.142135623730953,-1.1642676260517124,0.7402962547557381,82.25513941730424,11.069999999999993
SGC2023vfaztq,bucaramanga_nest,6.885833333,-73.33633333,123.99,0.9,2.524208652,89,6,0.16105014661026334,0.24864927925938396,6,6.854408919361483,-73.32867832575951,140.0,0.2273178262589017,0.1382671498442769,0.0,10.0,10.0,-0.6488025286042358,0.7389498533897367,82.1055392655263,16.010000000000005
SGC2023nljykm,bucaramanga_nest,7.471166667,-73.21483333,136.33,0.8,2.711751887,69,4,0.06127281020363299,0.08984227654915314,4,7.483226741855195,-73.32867832575951,160.0,0.1144416290427465,0.08924956464237,0.0,10.0,10.0,-0.874041028317313,0.7387271897963671,92.3408987245459,23.669999999999987
SGC2024mqpgcr,domain_20_120,6.5525,-73.45166667,117.37,0.8,1.802397841,42,4,0.06283919191123138,0.07715813902021257,4,6.584915566864178,-73.41918405927181,130.0,0.0579033913513941,0.0579033913513941,0.0,0.0,0.0,-0.0196667579268314,0.7371608080887686,92.14510101109606,12.629999999999995
SGC2024uxiqye,bucaramanga_nest,6.577,-73.42133333,120.93,0.9,2.677156704,101,5,0.16285586029413354,0.2354660148290044,5,6.67474668436328,-73.5096897927841,140.0,0.2711319555287877,0.1821757823633637,14.142135623730953,10.0,17.320508075688775,-0.4095393296209835,0.7371441397058665,81.90490441176294,19.069999999999993
SGC2025ftxwmj,domain_20_120,7.046833333,-73.46033333,111.57,0.9,2.228497265,52,5,0.1644910245429669,0.23392441479913578,5,7.034071145792724,-73.5096897927841,120.0,0.1206015063695604,0.1206015063695604,0.0,0.0,0.0,0.1646101712697216,0.7355089754570331,81.72321949522589,8.430000000000007
SGC2025ycdrkg,domain_20_120,6.59,-73.89366667,85.25,0.9,1.993002618,54,6,0.16467048172023513,0.2268968354125906,6,6.584915566864178,-73.87171276135847,90.0,0.1370249616022463,0.1368696806544169,0.0,-10.0,10.0,0.7746227194775566,0.7353295182797649,81.70327980886276,4.75
SGC2023fpefdd,domain_20_120,6.86,-73.38433333,117.33,0.9,2.335936789,68,4,0.1666760175388009,0.2262377940692232,4,6.854408919361483,-73.41918405927181,140.0,0.3160094987291468,0.1372031772386511,14.142135623730953,10.0,17.320508075688775,-0.0526471589585693,0.7333239824611991,81.48044249568879,22.67
SGC2025yyafzv,domain_20_120,6.569166667,-73.56583333,108.92,0.9,1.734061102,28,6,0.17425321379900158,0.2849675205245176,6,6.67474668436328,-73.60019556082159,130.0,0.3386188515568735,0.1944034280229929,14.142138321129512,10.0,17.320510278105544,-0.5220479909898543,0.7257467862009984,80.63853180011094,21.08
SGC2023fpmvxa,domain_20_120,7.031906385,-73.50249007,109.7265625,0.9,3.353002005,72,5,0.17614404859285443,0.2651400329255416,5,7.123902263291825,-73.60019556082159,130.0,0.1942308023087168,0.1561998688971579,14.142138321129512,10.0,17.320510278105544,-0.8902585101296516,0.7238559514071456,80.4284390452384,20.2734375
SGC2025purufo,domain_20_120,6.55,-73.51416667,114.32,0.9,2.382340837,76,6,0.1772834158658163,0.2745145520273517,6,6.67474668436328,-73.5096897927841,110.0,0.1652487741321474,0.1652487741321474,0.0,0.0,0.0,0.0887898377278748,0.7227165841341837,80.30184268157596,-4.319999999999993
SGC2023flsher,domain_20_120,6.80965827,-73.30736923,118.1640625,0.9,3.102811844,51,4,0.17778817648656386,0.2178530736365637,4,6.854408919361483,-73.32867832575951,140.0,0.2327498856717036,0.1938482987663113,14.142135623730953,10.0,17.320508075688775,0.0661282438068262,0.7222118235134362,80.24575816815957,21.8359375
